dest_ip,dest_port,event_type,flow,flow_id,icmp_code,icmp_type,in_iface,proto,src_ip,src_port,tcp,timestamp
ff02:0000:0000:0000:0000:0000:0000:0016,,flow,"{'pkts_toserver': 4, 'pkts_toclient': 0, 'bytes_toserver': 440, 'bytes_toclient': 0, 'start': '2025-05-09T08:13:37.251294+0000', 'end': '2025-05-09T08:13:37.791239+0000', 'age': 0, 'state': 'new', 'reason': 'timeout', 'alerted': False}",516351909249015,0,143,eth0,IPv6-ICMP,fe80:0000:0000:0000:2838:6cff:fe19:b404,,,2025-05-09T08:14:09.701406+0000
ff02:0000:0000:0000:0000:0000:0000:0016,,flow,"{'pkts_toserver': 4, 'pkts_toclient': 0, 'bytes_toserver': 440, 'bytes_toclient': 0, 'start': '2025-05-09T09:37:11.208151+0000', 'end': '2025-05-09T09:37:11.807975+0000', 'age': 0, 'state': 'new', 'reason': 'timeout', 'alerted': False}",2019905126042736,0,143,eth0,IPv6-ICMP,fe80:0000:0000:0000:4cce:1cff:fe97:f08f,,,2025-05-09T09:37:44.660779+0000
ff02:0000:0000:0000:0000:0000:0000:0016,,flow,"{'pkts_toserver': 1, 'pkts_toclient': 0, 'bytes_toserver': 150, 'bytes_toclient': 0, 'start': '2025-05-10T07:01:00.651208+0000', 'end': '2025-05-10T07:01:00.651208+0000', 'age': 0, 'state': 'new', 'reason': 'timeout', 'alerted': False}",1389544884852670,0,143,eth0,IPv6-ICMP,fe80:0000:0000:0000:2020:a6ff:fe57:e031,,,2025-05-10T07:01:31.096558+0000
ff02:0000:0000:0000:0000:0000:0000:0016,,flow,"{'pkts_toserver': 4, 'pkts_toclient': 0, 'bytes_toserver': 440, 'bytes_toclient': 0, 'start': '2025-05-10T07:01:00.851115+0000', 'end': '2025-05-10T07:01:01.811181+0000', 'age': 1, 'state': 'new', 'reason': 'timeout', 'alerted': False}",1403711406805740,0,143,eth0,IPv6-ICMP,fe80:0000:0000:0000:2cb9:50ff:fe3e:9ca1,,,2025-05-10T07:01:32.081757+0000
172.18.0.2,80,flow,"{'pkts_toserver': 1, 'pkts_toclient': 0, 'bytes_toserver': 74, 'bytes_toclient': 0, 'start': '2025-05-10T07:16:28.731502+0000', 'end': '2025-05-10T07:16:28.731502+0000', 'age': 0, 'state': 'new', 'reason': 'timeout', 'alerted': False}",1171456428367494,,,eth0,TCP,172.18.0.1,34854,"{'tcp_flags': '02', 'tcp_flags_ts': '02', 'tcp_flags_tc': '00', 'syn': True, 'state': 'syn_sent', 'ts_max_regions': 1, 'tc_max_regions': 1}",2025-05-10T07:17:00.734579+0000
172.18.0.3,5000,flow,"{'pkts_toserver': 1, 'pkts_toclient': 0, 'bytes_toserver': 74, 'bytes_toclient': 0, 'start': '2025-05-10T07:16:28.954205+0000', 'end': '2025-05-10T07:16:28.954205+0000', 'age': 0, 'state': 'new', 'reason': 'timeout', 'alerted': False}",1283530186801114,,,eth0,TCP,172.18.0.2,44046,"{'tcp_flags': '02', 'tcp_flags_ts': '02', 'tcp_flags_tc': '00', 'syn': True, 'state': 'syn_sent', 'ts_max_regions': 1, 'tc_max_regions': 1}",2025-05-10T07:17:02.708450+0000
172.18.0.5,5432,flow,"{'pkts_toserver': 1, 'pkts_toclient': 0, 'bytes_toserver': 74, 'bytes_toclient': 0, 'start': '2025-05-10T07:16:28.961172+0000', 'end': '2025-05-10T07:16:28.961172+0000', 'age': 0, 'state': 'new', 'reason': 'timeout', 'alerted': False}",1313453382964084,,,eth0,TCP,172.18.0.3,51706,"{'tcp_flags': '02', 'tcp_flags_ts': '02', 'tcp_flags_tc': '00', 'syn': True, 'state': 'syn_sent', 'ts_max_regions': 1, 'tc_max_regions': 1}",2025-05-10T07:17:03.696052+0000
ff02:0000:0000:0000:0000:0000:0000:0016,,flow,"{'pkts_toserver': 4, 'pkts_toclient': 0, 'bytes_toserver': 440, 'bytes_toclient': 0, 'start': '2025-05-10T07:46:18.472022+0000', 'end': '2025-05-10T07:46:19.431912+0000', 'age': 1, 'state': 'new', 'reason': 'timeout', 'alerted': False}",619946329265759,0,143,eth0,IPv6-ICMP,fe80:0000:0000:0000:20a0:8dff:fec2:aa72,,,2025-05-10T07:46:50.406423+0000
172.18.0.3,5000,flow,"{'pkts_toserver': 1, 'pkts_toclient': 0, 'bytes_toserver': 74, 'bytes_toclient': 0, 'start': '2025-05-10T08:11:02.843467+0000', 'end': '2025-05-10T08:11:02.843467+0000', 'age': 0, 'state': 'new', 'reason': 'timeout', 'alerted': False}",1933813742940737,,,eth0,TCP,172.18.0.4,45864,"{'tcp_flags': '02', 'tcp_flags_ts': '02', 'tcp_flags_tc': '00', 'syn': True, 'state': 'syn_sent', 'ts_max_regions': 1, 'tc_max_regions': 1}",2025-05-10T08:11:34.380138+0000
172.18.0.4,80,flow,"{'pkts_toserver': 1, 'pkts_toclient': 0, 'bytes_toserver': 74, 'bytes_toclient': 0, 'start': '2025-05-10T08:11:02.840354+0000', 'end': '2025-05-10T08:11:02.840354+0000', 'age': 0, 'state': 'new', 'reason': 'timeout', 'alerted': False}",1920444995988551,,,eth0,TCP,172.18.0.5,59862,"{'tcp_flags': '02', 'tcp_flags_ts': '02', 'tcp_flags_tc': '00', 'syn': True, 'state': 'syn_sent', 'ts_max_regions': 1, 'tc_max_regions': 1}",2025-05-10T08:11:35.366576+0000
